分数,位次,省份,年份,科类
672,19,广东,2025,历史类
671,23,广东,2025,历史类
670,25,广东,2025,历史类
669,33,广东,2025,历史类
668,39,广东,2025,历史类
667,43,广东,2025,历史类
666,48,广东,2025,历史类
665,54,广东,2025,历史类
664,58,广东,2025,历史类
663,71,广东,2025,历史类
662,81,广东,2025,历史类
661,89,广东,2025,历史类
660,95,广东,2025,历史类
659,106,广东,2025,历史类
658,119,广东,2025,历史类
657,125,广东,2025,历史类
656,139,广东,2025,历史类
655,152,广东,2025,历史类
654,160,广东,2025,历史类
653,169,广东,2025,历史类
652,182,广东,2025,历史类
651,203,广东,2025,历史类
650,219,广东,2025,历史类
649,244,广东,2025,历史类
648,267,广东,2025,历史类
647,290,广东,2025,历史类
646,323,广东,2025,历史类
645,358,广东,2025,历史类
644,397,广东,2025,历史类
643,442,广东,2025,历史类
642,482,广东,2025,历史类
641,524,广东,2025,历史类
640,553,广东,2025,历史类
639,600,广东,2025,历史类
638,640,广东,2025,历史类
637,696,广东,2025,历史类
636,735,广东,2025,历史类
635,792,广东,2025,历史类
634,840,广东,2025,历史类
633,912,广东,2025,历史类
632,968,广东,2025,历史类
631,1016,广东,2025,历史类
630,1107,广东,2025,历史类
629,1181,广东,2025,历史类
628,1257,广东,2025,历史类
627,1338,广东,2025,历史类
626,1417,广东,2025,历史类
625,1494,广东,2025,历史类
624,1586,广东,2025,历史类
623,1682,广东,2025,历史类
622,1778,广东,2025,历史类
621,1890,广东,2025,历史类
620,2011,广东,2025,历史类
619,2131,广东,2025,历史类
618,2245,广东,2025,历史类
617,2366,广东,2025,历史类
616,2472,广东,2025,历史类
615,2597,广东,2025,历史类
614,2753,广东,2025,历史类
613,2896,广东,2025,历史类
612,3035,广东,2025,历史类
611,3181,广东,2025,历史类
610,3337,广东,2025,历史类
609,3506,广东,2025,历史类
608,3677,广东,2025,历史类
607,3855,广东,2025,历史类
606,4044,广东,2025,历史类
605,4235,广东,2025,历史类
604,4435,广东,2025,历史类
603,4644,广东,2025,历史类
602,4868,广东,2025,历史类
601,5069,广东,2025,历史类
600,5295,广东,2025,历史类
599,5521,广东,2025,历史类
598,5751,广东,2025,历史类
597,5980,广东,2025,历史类
596,6223,广东,2025,历史类
595,6493,广东,2025,历史类
594,6740,广东,2025,历史类
593,6999,广东,2025,历史类
592,7273,广东,2025,历史类
591,7548,广东,2025,历史类
590,7864,广东,2025,历史类
589,8168,广东,2025,历史类
588,8477,广东,2025,历史类
587,8800,广东,2025,历史类
586,9121,广东,2025,历史类
585,9436,广东,2025,历史类
584,9799,广东,2025,历史类
583,10145,广东,2025,历史类
582,10503,广东,2025,历史类
581,10867,广东,2025,历史类
580,11211,广东,2025,历史类
579,11587,广东,2025,历史类
578,11930,广东,2025,历史类
577,12288,广东,2025,历史类
576,12652,广东,2025,历史类
575,13011,广东,2025,历史类
574,13405,广东,2025,历史类
573,13765,广东,2025,历史类
572,14166,广东,2025,历史类
571,14533,广东,2025,历史类
570,14885,广东,2025,历史类
569,15306,广东,2025,历史类
568,15729,广东,2025,历史类
567,16170,广东,2025,历史类
566,16622,广东,2025,历史类
565,17054,广东,2025,历史类
564,17511,广东,2025,历史类
563,17952,广东,2025,历史类
562,18408,广东,2025,历史类
561,18892,广东,2025,历史类
560,19388,广东,2025,历史类
559,19859,广东,2025,历史类
558,20330,广东,2025,历史类
557,20816,广东,2025,历史类
556,21304,广东,2025,历史类
555,21791,广东,2025,历史类
554,22303,广东,2025,历史类
553,22815,广东,2025,历史类
552,23301,广东,2025,历史类
551,23799,广东,2025,历史类
550,24337,广东,2025,历史类
549,24848,广东,2025,历史类
548,25415,广东,2025,历史类
547,25977,广东,2025,历史类
546,26515,广东,2025,历史类
545,27078,广东,2025,历史类
544,27623,广东,2025,历史类
543,28222,广东,2025,历史类
542,28819,广东,2025,历史类
541,29436,广东,2025,历史类
540,30035,广东,2025,历史类
539,30651,广东,2025,历史类
538,31261,广东,2025,历史类
537,31846,广东,2025,历史类
536,32474,广东,2025,历史类
535,33134,广东,2025,历史类
534,33785,广东,2025,历史类
533,34386,广东,2025,历史类
532,35028,广东,2025,历史类
531,35675,广东,2025,历史类
530,36305,广东,2025,历史类
529,37000,广东,2025,历史类
528,37634,广东,2025,历史类
527,38303,广东,2025,历史类
526,38985,广东,2025,历史类
525,39694,广东,2025,历史类
524,40374,广东,2025,历史类
523,41082,广东,2025,历史类
522,41753,广东,2025,历史类
521,42415,广东,2025,历史类
520,43117,广东,2025,历史类
519,43840,广东,2025,历史类
518,44553,广东,2025,历史类
517,45255,广东,2025,历史类
516,45995,广东,2025,历史类
515,46730,广东,2025,历史类
514,47418,广东,2025,历史类
513,48162,广东,2025,历史类
512,48883,广东,2025,历史类
511,49666,广东,2025,历史类
510,50492,广东,2025,历史类
509,51232,广东,2025,历史类
508,51997,广东,2025,历史类
507,52811,广东,2025,历史类
506,53595,广东,2025,历史类
505,54384,广东,2025,历史类
504,55160,广东,2025,历史类
503,55965,广东,2025,历史类
502,56758,广东,2025,历史类
501,57587,广东,2025,历史类
500,58355,广东,2025,历史类
499,59168,广东,2025,历史类
498,60020,广东,2025,历史类
497,60864,广东,2025,历史类
496,61693,广东,2025,历史类
495,62581,广东,2025,历史类
494,63394,广东,2025,历史类
493,64332,广东,2025,历史类
492,65106,广东,2025,历史类
491,65981,广东,2025,历史类
490,66922,广东,2025,历史类
489,67833,广东,2025,历史类
488,68709,广东,2025,历史类
487,69585,广东,2025,历史类
486,70493,广东,2025,历史类
485,71385,广东,2025,历史类
484,72279,广东,2025,历史类
483,73267,广东,2025,历史类
482,74194,广东,2025,历史类
481,75088,广东,2025,历史类
480,76030,广东,2025,历史类
479,76956,广东,2025,历史类
478,77827,广东,2025,历史类
477,78769,广东,2025,历史类
476,79691,广东,2025,历史类
475,80662,广东,2025,历史类
474,81620,广东,2025,历史类
473,82577,广东,2025,历史类
472,83586,广东,2025,历史类
471,84559,广东,2025,历史类
470,85560,广东,2025,历史类
469,86540,广东,2025,历史类
468,87559,广东,2025,历史类
467,88595,广东,2025,历史类
466,89620,广东,2025,历史类
465,90665,广东,2025,历史类
464,91663,广东,2025,历史类
463,92681,广东,2025,历史类
462,93710,广东,2025,历史类
461,94741,广东,2025,历史类
460,95868,广东,2025,历史类
459,96910,广东,2025,历史类
458,97894,广东,2025,历史类
457,98961,广东,2025,历史类
456,99990,广东,2025,历史类
455,101053,广东,2025,历史类
454,102100,广东,2025,历史类
453,103178,广东,2025,历史类
452,104301,广东,2025,历史类
451,105356,广东,2025,历史类
450,106422,广东,2025,历史类
449,107521,广东,2025,历史类
448,108600,广东,2025,历史类
447,109680,广东,2025,历史类
446,110785,广东,2025,历史类
445,111897,广东,2025,历史类
444,112900,广东,2025,历史类
443,114000,广东,2025,历史类
442,115018,广东,2025,历史类
441,116070,广东,2025,历史类
440,117122,广东,2025,历史类
439,118190,广东,2025,历史类
438,119313,广东,2025,历史类
437,120392,广东,2025,历史类
436,121527,广东,2025,历史类
435,122623,广东,2025,历史类
434,123759,广东,2025,历史类
433,124844,广东,2025,历史类
432,125873,广东,2025,历史类
431,127050,广东,2025,历史类
430,128157,广东,2025,历史类
429,129266,广东,2025,历史类
428,130347,广东,2025,历史类
427,131475,广东,2025,历史类
426,132613,广东,2025,历史类
425,133729,广东,2025,历史类
